model,B,K,search_tokens,budget_dev_pct,theta_a_true,theta_b_true,true_delta,true_a_better,m1_pt,m3_pt,m3_lo,m3_hi,m4_pt,m4_lo,m4_hi,m5_pt,m5_lo,m5_hi,m6_pt,m6_lo,m6_hi,m7_pt,m7_lo,m7_hi,system_b,m3_cov_a,m4_cov_a,m5_cov_a,m6_cov_a,m7_cov_a,m1_claims_a_gt_b,m3_claims,m4_claims,m5_claims,m6_claims,m7_claims
GLM-4-9B,500000,5,619564,23.9128,0.27906089695483743,0.25674325674325676,0.02231764021158067,True,0.2857142857142857,0.2857142857142857,0.25772827522302805,0.31370029620554335,0.2694610778443114,0.23057082468199935,0.30835133100662343,0.2710578842315369,0.26355710994524056,0.2785586585178333,0.27292107296722434,0.24655900423894883,0.29820201873139607,0.27292107296722434,0.24664012796517348,0.2975682425525815,0.25674325674325676,True,True,False,True,True,True,True,False,True,False,False
GLM-4-9B,1500000,6,1587781,5.8520666666666665,0.2848336926328943,0.25674325674325676,0.028090435889637555,True,0.2937062937062937,0.2937062937062937,0.2654907562492073,0.3219218311633801,0.2774451097804391,0.23819914328867128,0.316691076272207,0.280439121756487,0.27290881875296535,0.28796942476000864,0.2806095701300191,0.25362304933834834,0.30692392290583337,0.2806095701300191,0.25398574421377945,0.30618010237913784,0.25674325674325676,True,True,True,True,True,True,True,False,True,False,False
GLM-4-9B,3000000,6,0,-100.0,0.279486428996688,0.25674325674325676,0.022743172253431254,True,0.2897102897102897,0.2897102897102897,0.2616081910310826,0.3178123883894968,0.2654690618762475,0.2267626357848703,0.3041754879676247,0.27664670658682633,0.27070844147168377,0.2825849717019689,0.27510455093201475,0.2491020252194179,0.30063080079630417,0.27510455093201475,0.24795742566793855,0.3009826811070061,0.25674325674325676,True,True,True,True,True,True,True,False,True,False,False
GLM-4-9B,6500000,6,0,-100.0,0.2826524206519317,0.25674325674325676,0.025909163908674926,True,0.2907092907092907,0.2907092907092907,0.26257858521823313,0.31883999620034825,0.2654690618762475,0.2267626357848703,0.3041754879676247,0.27305389221556886,0.2657390652457199,0.28036871918541784,0.27773360237547673,0.25152106318948303,0.30398320258089795,0.27773360237547673,0.25062967539432685,0.30330582760886704,0.25674325674325676,True,True,False,True,True,True,True,False,True,False,False
InternLM2.5-7B,500000,4,518879,3.7758,0.28427208055217673,0.25574425574425574,0.028527824807920987,True,0.2957042957042957,0.2957042957042957,0.2674330223915868,0.3239755690170046,0.27944111776447106,0.24010867112812562,0.3187735644008165,0.29221556886227545,0.28148450600081515,0.30294663172373576,0.2840931123950671,0.25596145060584385,0.3135295294616368,0.2840931123950671,0.2562899399754316,0.31184349930998295,0.25574425574425574,True,True,True,True,True,True,True,False,True,True,True
InternLM2.5-7B,1500000,6,1577792,5.186133333333333,0.2843702005373143,0.25574425574425574,0.028625944793058578,True,0.2897102897102897,0.2897102897102897,0.2616081910310826,0.3178123883894968,0.2894211576846307,0.2496706807825535,0.32917163458670795,0.2812375249500998,0.2713799290907278,0.2910951208094718,0.284468896631151,0.25627405150065435,0.313285152246536,0.284468896631151,0.2571920763778777,0.3126055404957512,0.25574425574425574,True,True,True,True,True,True,True,False,True,True,True
InternLM2.5-7B,3000000,6,0,-100.0,0.28423176756058166,0.25574425574425574,0.028487511816325917,True,0.2937062937062937,0.2937062937062937,0.2654907562492073,0.3219218311633801,0.2874251497005988,0.24775638309788348,0.3270939163033141,0.2868263473053892,0.27675980925569094,0.29689288535508745,0.28280953506563994,0.25555318702886576,0.3109342750187571,0.28280953506563994,0.25583277549154276,0.311457194202966,0.25574425574425574,True,True,True,True,True,True,True,False,True,False,True
InternLM2.5-7B,6500000,6,0,-100.0,0.28224074815576966,0.25574425574425574,0.026496492411513917,True,0.2937062937062937,0.2937062937062937,0.2654907562492073,0.3219218311633801,0.2874251497005988,0.24775638309788348,0.3270939163033141,0.28642714570858285,0.27669769779390263,0.2961565936232631,0.28073478400188995,0.2530214022847611,0.309229268260347,0.28073478400188995,0.2538458525059995,0.30892827223045455,0.25574425574425574,True,True,True,True,True,True,True,False,True,False,False
Llama-3.1-8B,500000,4,537076,7.4152,0.3289197133853845,0.3276723276723277,0.0012473857130568256,True,0.3386613386613387,0.3386613386613387,0.3093433752196123,0.36797930210306506,0.35129740518962077,0.30945358205835205,0.3931412283208895,0.32455089820359284,0.31660619506910204,0.33249560133808365,0.32496820591674375,0.297240757046528,0.3540523990242885,0.32496820591674375,0.2975379978758446,0.35293671900751317,0.3276723276723277,True,True,True,True,True,True,False,False,False,False,False
Llama-3.1-8B,1500000,6,1512184,0.8122666666666667,0.3228245863687766,0.3276723276723277,-0.00484774130355109,False,0.32967032967032966,0.32967032967032966,0.30054819638797525,0.3587924629526841,0.3413173652694611,0.29975613751992036,0.38287859301900184,0.3187624750499002,0.31011931113539193,0.32740563896440844,0.3181882485418674,0.29107564277704395,0.3464964909831957,0.3181882485418674,0.29084528806435783,0.34558351856696123,0.3276723276723277,True,True,True,True,True,True,False,False,False,False,False
